Date,City,Temperature,Weather Description
2000-02-02,Houston,50.500416666666666,broken clouds
2000-02-02,Los Angeles,63.78958333333333,sky is clear
2000-02-02,Miami,69.11083333333333,scattered clouds
2000-02-02,New York,26.783749999999998,scattered clouds
2000-02-02,Phoenix,57.92875,few clouds
2000-02-02,Seattle,44.602916666666665,light rain
2000-02-03,Chicago,31.005555555555556,overcast clouds
2000-02-03,Houston,50.2152,overcast clouds
2000-02-03,Los Angeles,63.54,sky is clear
2000-02-03,Miami,70.58538461538461,light rain
2000-02-03,New York,25.3,sky is clear
2000-02-03,Phoenix,58.078333333333326,few clouds
2000-02-03,Seattle,44.35708333333333,overcast clouds
2000-02-04,Chicago,27.78142857142857,light snow
2000-02-04,Houston,54.343333333333334,sky is clear
2000-02-04,Los Angeles,58.93375,scattered clouds
2000-02-04,Miami,68.62870967741935,moderate rain
2000-02-04,New York,29.697878787878786,light snow
2000-02-04,Phoenix,57.86416666666667,scattered clouds
2000-02-04,Seattle,45.060833333333335,overcast clouds
2000-02-05,Chicago,21.590416666666666,few clouds
2000-02-05,Houston,47.17625,sky is clear
2000-02-05,Los Angeles,60.154583333333335,broken clouds
2000-02-05,Miami,63.20875,light rain
2000-02-05,New York,30.409354838709675,overcast clouds
2000-02-05,Phoenix,60.65083333333334,scattered clouds
2000-02-05,Seattle,42.2275,sky is clear
2000-02-06,Chicago,24.652083333333334,broken clouds
2000-02-06,Houston,47.32333333333333,few clouds
2000-02-06,Los Angeles,59.154583333333335,broken clouds
2000-02-06,Miami,60.115833333333335,few clouds
2000-02-06,New York,30.203333333333333,few clouds
2000-02-06,Phoenix,59.979166666666664,overcast clouds
2000-02-06,Seattle,46.19916666666666,scattered clouds
2000-02-07,Chicago,28.707199999999997,broken clouds
2000-02-07,Houston,59.27846153846154,overcast clouds
2000-02-07,Los Angeles,63.32,sky is clear
2000-02-07,Miami,65.72958333333334,scattered clouds
2000-02-07,New York,33.03666666666667,overcast clouds
2000-02-07,Phoenix,61.24458333333333,scattered clouds
2000-02-07,Seattle,47.46458333333334,overcast clouds
2000-02-08,Chicago,22.93958333333333,few clouds
2000-02-08,Houston,57.0972,moderate rain
2000-02-08,Los Angeles,63.76333333333333,overcast clouds
2000-02-08,Miami,67.87928571428571,scattered clouds
2000-02-08,New York,26.467083333333335,few clouds
2000-02-08,Phoenix,64.43041666666666,scattered clouds
2000-02-08,Seattle,47.212916666666665,light rain
2000-02-09,Chicago,34.397083333333335,overcast clouds
2000-02-09,Houston,56.10961538461538,sky is clear
2000-02-09,Los Angeles,61.63333333333333,overcast clouds
2000-02-09,Miami,62.939375,fog
2000-02-09,New York,31.322083333333335,sky is clear
2000-02-09,Phoenix,65.65833333333333,overcast clouds
2000-02-09,Seattle,43.665416666666665,moderate rain
2000-02-10,Chicago,33.83166666666667,mist
2000-02-10,Houston,64.77958333333333,broken clouds
2000-02-10,Los Angeles,57.57958333333334,overcast clouds
2000-02-10,Miami,60.35961538461538,sky is clear
2000-02-10,New York,37.34791666666667,sky is clear
2000-02-10,Phoenix,66.21333333333332,overcast clouds
2000-02-10,Seattle,41.03791666666667,scattered clouds
2000-02-11,Chicago,25.435000000000002,mist
2000-02-11,Houston,68.37916666666666,broken clouds
2000-02-11,Los Angeles,54.946666666666665,moderate rain
2000-02-11,Miami,62.666666666666664,sky is clear
2000-02-11,New York,39.7425,overcast clouds
2000-02-11,Phoenix,61.49416666666667,few clouds
2000-02-11,Seattle,41.08208333333334,overcast clouds
2000-02-12,Chicago,22.750416666666666,scattered clouds
2000-02-12,Houston,66.38958333333333,broken clouds
2000-02-12,Los Angeles,55.377916666666664,overcast clouds
2000-02-12,Miami,66.9155172413793,sky is clear
2000-02-12,New York,29.087500000000002,few clouds
2000-02-12,Phoenix,58.5925,scattered clouds
2000-02-12,Seattle,41.31916666666667,scattered clouds
2000-02-13,Chicago,29.67037037037037,overcast clouds
2000-02-13,Houston,68.7972,broken clouds
2000-02-13,Los Angeles,54.963750000000005,overcast clouds
2000-02-13,Miami,70.08346153846153,scattered clouds
2000-02-13,New York,29.037499999999998,scattered clouds
2000-02-13,Phoenix,59.91583333333333,scattered clouds
2000-02-13,Seattle,39.40541666666667,light rain
2000-02-14,Chicago,28.681470588235292,light snow
2000-02-14,Houston,64.3372,few clouds
2000-02-14,Los Angeles,58.17291666666667,overcast clouds
2000-02-14,Miami,74.01625,sky is clear
2000-02-14,New York,41.0335,overcast clouds
2000-02-14,Phoenix,60.302083333333336,overcast clouds
2000-02-14,Seattle,41.5925,broken clouds
2000-02-15,Chicago,30.409166666666668,broken clouds
2000-02-15,Houston,65.74515151515152,few clouds
2000-02-15,Los Angeles,59.82041666666667,light rain
2000-02-15,Miami,72.79208333333334,broken clouds
2000-02-15,New York,37.00083333333333,overcast clouds
2000-02-15,Phoenix,62.5725,broken clouds
2000-02-15,Seattle,40.152499999999996,light rain
2000-02-16,Chicago,33.18625,mist
2000-02-16,Houston,69.54,overcast clouds
2000-02-16,Los Angeles,56.302083333333336,overcast clouds
2000-02-16,Miami,71.41291666666667,scattered clouds
2000-02-16,New York,36.342083333333335,sky is clear
2000-02-16,Phoenix,62.430416666666666,scattered clouds
2000-02-16,Seattle,41.40208333333333,light rain
2000-02-17,Chicago,26.12291666666667,few clouds
2000-02-17,Houston,71.233125,scattered clouds
2000-02-17,Los Angeles,52.365,moderate rain
2000-02-17,Miami,70.14041666666667,scattered clouds
2000-02-17,New York,33.005833333333335,scattered clouds
2000-02-17,Phoenix,59.840833333333336,light rain
2000-02-17,Seattle,40.565,sky is clear
2000-02-18,Chicago,29.50421052631579,light snow
2000-02-18,Houston,73.4144,broken clouds
2000-02-18,Los Angeles,53.95583333333334,scattered clouds
2000-02-18,Miami,73.05083333333333,few clouds
2000-02-18,New York,31.114473684210523,scattered clouds
2000-02-18,Phoenix,55.370000000000005,scattered clouds
2000-02-18,Seattle,40.260416666666664,sky is clear
2000-02-19,Chicago,28.7175,fog
2000-02-19,Houston,62.48875,broken clouds
2000-02-19,Los Angeles,60.46083333333333,scattered clouds
2000-02-19,Miami,73.64416666666666,scattered clouds
2000-02-19,New York,31.059512195121954,fog
2000-02-19,Phoenix,59.0225,overcast clouds
2000-02-19,Seattle,40.309583333333336,scattered clouds
2000-02-20,Chicago,26.106666666666666,overcast clouds
2000-02-20,Houston,54.9925,broken clouds
2000-02-20,Los Angeles,60.45458333333334,overcast clouds
2000-02-20,Miami,72.65541666666667,few clouds
2000-02-20,New York,33.22730769230769,overcast clouds
2000-02-20,Phoenix,64.02041666666666,overcast clouds
2000-02-20,Seattle,42.70458333333334,sky is clear
2000-02-21,Chicago,28.727083333333336,scattered clouds
2000-02-21,Houston,59.88625,broken clouds
2000-02-21,Los Angeles,53.27916666666667,light rain
2000-02-21,Miami,69.99416666666666,scattered clouds
2000-02-21,New York,34.38166666666667,scattered clouds
2000-02-21,Phoenix,64.51625,overcast clouds
2000-02-21,Seattle,46.76541666666666,overcast clouds
2000-02-22,Chicago,44.29916666666667,overcast clouds
2000-02-22,Houston,63.79291666666666,broken clouds
2000-02-22,Los Angeles,52.77125,moderate rain
2000-02-22,Miami,68.28625,sky is clear
2000-02-22,New York,35.89208333333333,sky is clear
2000-02-22,Phoenix,56.2775,moderate rain
2000-02-22,Seattle,47.76291666666666,light rain
2000-02-23,Chicago,50.190416666666664,overcast clouds
2000-02-23,Houston,66.93032258064517,overcast clouds
2000-02-23,Los Angeles,53.67291666666667,overcast clouds
2000-02-23,Miami,70.08833333333334,scattered clouds
2000-02-23,New York,39.501666666666665,sky is clear
2000-02-23,Phoenix,55.965,scattered clouds
2000-02-23,Seattle,43.84583333333333,light rain
2000-02-24,Chicago,50.59533333333333,overcast clouds
